# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 12:15:36 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
loc_rowid,kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass
11,11446443,CONFIRMED,2.470613377,1.74319,1.4231e+04,0.123871,13.04,0.0354,84.41,1339.0,761.46,5820.00,0.9640,0.9710
12,10666592,CONFIRMED,2.204735417,3.88864,6.6747e+03,0.075522,16.10,0.0376,87.21,2048.0,4148.92,6440.00,1.9520,1.4490
13,6922244,CONFIRMED,3.522498429,3.19843,9.1457e+03,0.092086,14.59,0.0473,85.20,1521.0,1264.67,6225.00,1.4510,1.1320
14,10984090,CONFIRMED,3.709214104,2.63020,1.3110e+02,0.010424,1.16,0.0465,89.73,1206.0,500.46,5833.00,1.0220,0.9740
15,10419211,FALSE POSITIVE,11.521446064,3.63990,1.7984e+04,1.625358,150.51,0.0978,83.13,753.0,75.88,5795.00,0.8480,0.9380
16,10464078,FALSE POSITIVE,19.403937760,12.21550,8.9187e+03,0.096729,7.18,0.1230,84.93,523.0,17.69,5043.00,0.6800,0.6570
17,10480982,FALSE POSITIVE,19.221388942,4.79843,7.4284e+04,0.476633,49.29,0.1417,88.05,698.0,55.97,6117.00,0.9470,1.0250
18,10485250,FALSE POSITIVE,16.469837740,9.43780,1.0479e+04,0.092509,7.94,0.1147,88.81,595.0,29.61,5152.00,0.7860,0.7410
19,10526549,CONFIRMED,9.273581730,3.28750,1.2883e+03,0.032563,2.47,0.0759,88.93,649.0,41.85,4856.00,0.6960,0.6760
20,10583066,CONFIRMED,6.029303290,1.58210,1.9127e+03,0.038838,2.85,0.0585,89.50,678.0,50.04,4537.00,0.6720,0.7610
21,10583180,FALSE POSITIVE,2.696370652,3.61290,3.9790e+02,0.017673,1.58,0.0349,89.56,1066.0,305.34,4989.00,0.8190,0.7810
22,10601284,CONFIRMED,5.349553819,3.02780,8.3100e+02,0.025706,2.55,0.0563,89.62,919.0,168.99,5185.00,0.9100,0.8310
23,10601284,CONFIRMED,3.941052210,2.59840,3.6330e+02,0.017105,1.70,0.0460,88.88,1018.0,253.15,5185.00,0.9100,0.8310
24,10601284,CONFIRMED,8.109048070,3.59600,2.1740e+02,0.013127,1.30,0.0743,89.92,800.0,97.03,5185.00,0.9100,0.8310
25,2306756,FALSE POSITIVE,386.603052800,6.80570,2.4927e+04,0.240528,41.50,1.0719,89.95,297.0,1.84,5543.00,1.5800,1.1030
26,10662202,CONFIRMED,21.676991930,3.45550,8.5720e+02,0.032666,2.95,0.1408,87.91,530.0,18.64,4954.00,0.8280,0.7910
27,10682541,CONFIRMED,4.996779680,2.17170,9.3470e+02,0.030014,2.78,0.0559,86.90,917.0,166.95,5339.00,0.8470,0.9310
28,11460018,CONFIRMED,4.280963604,2.87500,7.5080e+02,0.025377,2.30,0.0503,87.72,1012.0,247.87,5644.00,0.8310,0.9280
29,11463211,FALSE POSITIVE,1.506354090,1.51550,2.2117e+03,0.049899,4.53,0.0250,79.38,1452.0,1054.12,5714.00,0.8310,0.9260
30,11465813,FALSE POSITIVE,670.645531000,53.41200,1.8091e+04,0.131705,14.14,1.5155,89.53,196.0,0.35,5520.00,0.9830,1.0300
31,11493732,FALSE POSITIVE,61.256362800,7.63300,5.1233e+03,0.334628,39.87,0.3137,87.54,505.0,15.43,6144.00,1.0910,1.0930
32,11507101,CONFIRMED,38.377548600,5.58800,7.2420e+02,0.024901,2.82,0.2163,89.44,529.0,18.53,5481.00,1.0360,0.9150
33,10910878,CONFIRMED,41.197255020,4.62970,2.2139e+03,0.041693,3.86,0.2170,89.96,439.0,8.76,5031.00,0.8480,0.8010
34,10910878,CONFIRMED,6.252962249,2.58190,1.0369e+03,0.028604,2.65,0.0617,89.68,823.0,108.30,5031.00,0.8480,0.8010
35,10987985,CONFIRMED,16.013084190,3.25540,1.1219e+03,0.034369,3.10,0.1148,88.14,593.0,29.31,5015.00,0.8260,0.7850
36,11018648,CONFIRMED,32.628766720,4.79710,1.8048e+03,0.038520,3.36,0.1889,89.98,506.0,15.55,5586.00,0.7980,0.8440
37,11018648,CONFIRMED,91.773286200,6.47300,6.5200e+02,0.024320,2.12,0.3764,89.61,359.0,3.92,5586.00,0.7980,0.8440
38,11138155,CONFIRMED,4.959319244,2.22739,9.8020e+03,0.103379,12.21,0.0565,86.15,1103.0,349.40,5712.00,1.0820,0.9760
39,11152159,FALSE POSITIVE,2.701287801,3.38270,8.6040e+02,0.065840,6.54,0.0365,62.69,1222.0,527.81,5550.00,0.9100,0.8890
40,11153539,CONFIRMED,4.498765110,3.73620,4.6000e+02,0.019817,2.10,0.0542,88.00,1133.0,389.62,6075.00,0.9690,1.0480
41,11242721,FALSE POSITIVE,19.651209505,5.25140,1.1766e+04,0.106953,12.42,0.1433,88.27,730.0,67.03,6074.00,1.0630,1.0140
42,9579641,CONFIRMED,5.412203927,2.94720,6.0160e+02,0.024775,2.94,0.0591,85.12,1093.0,337.68,5779.00,1.0870,0.9410
43,11304958,CONFIRMED,41.439586620,10.59890,2.7931e+03,0.048175,5.50,0.2288,89.31,516.0,16.72,5468.00,1.0460,0.9300
44,11391957,CONFIRMED,8.353895230,2.25140,1.0416e+03,0.029305,2.52,0.0768,89.95,790.0,91.90,5592.00,0.7870,0.8620
45,11403044,CONFIRMED,4.125543472,3.17440,1.4873e+03,0.036796,4.43,0.0529,85.95,1243.0,565.35,6174.00,1.1030,1.1620
46,11414511,CONFIRMED,2.816504904,2.50587,1.6814e+04,0.117059,12.21,0.0383,89.37,1219.0,521.13,5532.00,0.9550,0.9410
47,11442465,FALSE POSITIVE,33.933734470,14.56100,8.5037e+03,0.095386,7.34,0.1881,86.45,430.0,8.11,5040.00,0.7050,0.7820
48,12110942,CONFIRMED,3.689920099,2.65570,4.2670e+02,0.018878,1.89,0.0469,89.19,1147.0,408.99,5880.00,0.9170,1.0100
49,12366084,CONFIRMED,4.431238488,3.15000,1.0109e+03,0.029330,3.25,0.0529,87.72,1104.0,351.23,5714.00,1.0150,1.0070
50,12366084,CONFIRMED,11.379369860,2.62550,1.0235e+03,0.035628,3.95,0.0993,86.80,806.0,99.68,5714.00,1.0150,1.0070
51,12404086,CONFIRMED,26.394328970,3.57300,1.5109e+03,0.036810,3.07,0.1635,89.28,489.0,13.49,5129.00,0.7630,0.8460
52,8395660,CONFIRMED,13.570782810,3.35390,5.1170e+02,0.023908,2.64,0.1096,87.07,785.0,89.61,5854.00,1.0120,0.9510
53,9579641,CONFIRMED,7.125943870,3.00140,1.9240e+02,0.015120,1.79,0.0711,84.02,997.0,233.31,5779.00,1.0870,0.9410
54,11656840,FALSE POSITIVE,7.442652004,2.30780,2.4446e+04,0.143936,15.03,0.0742,89.72,967.0,206.78,6108.00,0.9560,0.9810
55,11754553,CONFIRMED,16.384899880,3.02490,1.1271e+03,0.029758,2.00,0.1084,90.00,433.0,8.35,4126.00,0.6150,0.6330
56,11754553,CONFIRMED,7.877416300,2.08050,1.3061e+03,0.032090,2.16,0.0665,89.92,553.0,22.18,4126.00,0.6150,0.6330
57,11754553,CONFIRMED,36.445400100,4.00700,1.1223e+03,0.029681,1.99,0.1847,89.98,332.0,2.88,4126.00,0.6150,0.6330
58,11812062,CONFIRMED,3.728732147,2.68300,5.2265e+03,0.068178,6.02,0.0455,86.70,1023.0,258.34,5497.00,0.8090,0.9070
59,11818800,CANDIDATE,40.419503700,3.36200,6.2560e+03,0.088069,7.51,0.2062,89.05,467.0,11.29,5446.00,0.7810,0.7140
60,11853255,CONFIRMED,2.243380573,1.11960,8.2170e+02,0.032248,1.99,0.0280,82.88,822.0,107.60,4149.00,0.5640,0.5780
61,11909839,FALSE POSITIVE,10.405998015,6.50360,1.4489e+04,0.111248,11.23,0.0855,88.57,833.0,113.94,5746.00,0.9240,0.7700
62,11918099,CONFIRMED,2.337437946,1.99820,9.7120e+02,0.027998,2.34,0.0325,88.19,1070.0,311.16,5005.00,0.7650,0.8500
63,11918099,CANDIDATE,7.240661200,0.55800,5.5640e+02,0.232818,19.45,0.0692,87.62,734.0,68.63,5005.00,0.7650,0.8500
64,9579641,CANDIDATE,3.435916310,3.13300,2.3200e+01,0.004612,0.55,0.0437,84.62,1272.0,617.61,5779.00,1.0870,0.9410
65,11923270,CONFIRMED,11.598222330,2.52370,2.8045e+03,0.051287,2.65,0.0798,88.62,396.0,5.82,3688.00,0.4730,0.5030
66,11960862,CONFIRMED,6.575315881,4.30840,2.7933e+03,0.049152,5.31,0.0670,88.03,1015.0,251.38,5992.00,0.9890,0.9270
67,12020329,CONFIRMED,7.275040844,7.53770,3.0010e+03,0.051358,4.86,0.0732,85.29,833.0,113.64,5485.00,0.8670,0.9860
68,12066335,CONFIRMED,19.271538920,2.75940,1.2198e+03,0.031585,1.93,0.1171,89.97,393.0,5.66,4077.00,0.5600,0.5760
69,12066335,CONFIRMED,10.065243170,1.36900,1.0533e+03,0.031153,1.91,0.0760,89.22,488.0,13.43,4077.00,0.5600,0.5760
70,12070811,CONFIRMED,12.393565100,3.88960,9.1660e+02,0.032536,2.66,0.0983,86.13,677.0,49.68,5557.00,0.7500,0.8320
71,8395660,CONFIRMED,43.844397210,6.80200,6.1520e+02,0.025934,2.87,0.2395,88.27,531.0,18.77,5854.00,1.0120,0.9510
72,3120431,FALSE POSITIVE,3.341913228,3.81300,7.2530e+02,0.243351,21.55,0.0415,56.44,1032.0,268.67,5295.00,0.8110,0.8530
73,3246984,FALSE POSITIVE,1.626630225,2.11450,1.6206e+03,0.305244,32.43,0.0260,58.03,1547.0,1355.88,5735.00,0.9730,0.8890
74,3342970,CONFIRMED,2.711504086,3.00990,8.3750e+02,0.026533,3.12,0.0401,89.81,1420.0,960.79,6214.00,1.0760,1.1690
75,3342970,CONFIRMED,7.212037480,4.04910,9.5040e+02,0.028255,3.32,0.0770,89.95,1025.0,260.58,6214.00,1.0760,1.1690
76,12459725,FALSE POSITIVE,14.179818700,2.50500,4.5990e+02,0.019561,1.88,0.1137,89.95,711.0,60.35,5799.00,0.8780,0.9750
77,12470844,CONFIRMED,8.472379110,2.72450,1.1235e+03,0.030119,2.59,0.0778,89.95,751.0,75.44,5354.00,0.7880,0.8840
78,12470844,CONFIRMED,60.418936900,5.03900,9.3130e+02,0.027422,2.36,0.2884,89.94,390.0,5.49,5354.00,0.7880,0.8840
79,12644822,CONFIRMED,12.611904345,5.14970,6.1056e+03,0.073758,7.40,0.1058,88.17,753.0,76.15,5795.00,0.9190,0.9920
80,2440757,FALSE POSITIVE,1.433769925,1.88680,1.9763e+03,0.318591,46.58,0.0256,58.99,1920.0,3209.29,6017.00,1.3390,1.0830
81,2445129,FALSE POSITIVE,10.318723010,3.83600,8.7170e+02,0.247006,28.59,0.0944,78.15,876.0,139.26,5927.00,1.0600,1.0500
82,2713049,CONFIRMED,2.539183147,2.42820,3.8210e+02,0.017724,2.06,0.0355,88.28,1332.0,743.09,5519.00,1.0620,0.9210
83,3114167,CONFIRMED,6.770300385,2.08440,1.3040e+03,0.037414,2.77,0.0640,86.84,812.0,102.87,5653.00,0.6790,0.7670
84,3114661,FALSE POSITIVE,0.444291966,2.07920,1.0967e+04,0.396105,27.51,0.0101,39.97,1836.0,2706.26,5255.00,0.6360,0.7090
85,3115833,CANDIDATE,10.181584004,3.50890,5.7411e+03,0.084708,7.73,0.0884,85.87,812.0,102.91,5988.00,0.8360,0.8850
86,4139816,CONFIRMED,20.060363360,3.32030,1.4947e+03,0.036455,1.96,0.1150,89.21,361.0,4.00,3950.00,0.4930,0.5020
87,4139816,CONFIRMED,46.184203900,4.75800,1.3947e+03,0.033974,1.83,0.2005,89.99,273.0,1.32,3950.00,0.4930,0.5020
88,8395660,CONFIRMED,23.980085400,5.35100,1.0400e+02,0.011879,1.31,0.1602,85.45,649.0,41.94,5854.00,1.0120,0.9510
89,4139816,CONFIRMED,7.825021680,2.18600,5.2080e+02,0.022312,1.20,0.0614,87.99,494.0,14.05,3950.00,0.4930,0.5020
90,4275191,CONFIRMED,3.895936525,2.31110,8.5448e+03,0.086890,7.34,0.0460,87.56,1005.0,241.62,5557.00,0.7740,0.8660
91,4476123,CONFIRMED,22.366464660,5.22800,9.8680e+02,0.028938,2.32,0.1449,89.26,536.0,19.45,5395.00,0.7340,0.8210
92,3351888,CONFIRMED,1.625522174,2.38963,7.9690e+03,0.080543,9.73,0.0265,89.22,1579.0,1467.41,5539.00,1.1060,0.9350
93,3453214,CANDIDATE,19.620346923,2.00380,2.1725e+04,0.137595,13.60,0.1389,89.66,643.0,40.39,5710.00,0.9050,0.9280
94,3554600,FALSE POSITIVE,7.544039000,6.22200,3.2260e+02,0.194187,17.47,0.0731,58.94,838.0,116.46,5657.00,0.8240,0.9190
95,3641726,CONFIRMED,9.029306890,3.14490,1.0198e+03,0.028718,2.57,0.0796,89.94,757.0,77.75,5349.00,0.8200,0.8240
96,3734868,FALSE POSITIVE,10.328035714,7.79150,1.6918e+04,0.118805,13.28,0.0888,88.54,843.0,119.31,5627.00,1.0240,0.8740
97,3832474,CONFIRMED,143.206304700,8.93020,1.0566e+04,0.094044,8.90,0.5336,89.83,308.0,2.14,5485.00,0.8670,0.9860
98,8395660,CONFIRMED,6.164876000,3.26200,5.5800e+01,0.007192,0.79,0.0648,86.69,1021.0,256.35,5854.00,1.0120,0.9510
99,3832474,CONFIRMED,60.324942160,6.61880,2.0280e+04,0.128744,12.19,0.2998,89.83,411.0,6.77,5485.00,0.8670,0.9860
100,3832474,CONFIRMED,29.159861500,4.80300,4.8800e+02,0.020180,1.91,0.1847,89.38,524.0,17.85,5485.00,0.8670,0.9860
101,3836375,FALSE POSITIVE,1.540397253,2.15410,8.1610e+02,0.257087,25.69,0.0264,51.56,1470.0,1105.68,5663.00,0.9150,1.0340
102,3838486,FALSE POSITIVE,2.990254430,5.41400,5.8920e+02,0.021279,1.70,0.0367,89.81,918.0,168.45,4667.00,0.7310,0.7370
103,3935914,CONFIRMED,1.594745374,1.96040,1.5044e+04,0.115879,11.30,0.0258,85.25,1539.0,1329.42,5934.00,0.8930,0.9010
104,3940418,CONFIRMED,4.783002698,2.33500,1.0087e+03,0.028315,2.50,0.0535,89.99,886.0,145.48,5170.00,0.8070,0.8910
105,4049131,CONFIRMED,20.505889210,4.05950,2.1055e+03,0.041039,3.41,0.1326,89.62,518.0,17.06,4905.00,0.7610,0.7390
106,4139816,CONFIRMED,3.340218842,1.91040,1.6326e+03,0.037683,2.03,0.0348,87.85,656.0,43.73,3950.00,0.4930,0.5020
107,5287983,FALSE POSITIVE,2.507089906,2.00670,1.3392e+03,0.295115,30.26,0.0365,67.79,1326.0,730.47,5926.00,0.9390,1.0300
108,5358241,CONFIRMED,18.649327280,4.40560,8.9360e+02,0.027096,3.12,0.1390,89.86,701.0,57.13,5775.00,1.0530,1.0260
109,10875245,CONFIRMED,4.901449760,4.16540,1.4070e+02,0.011136,1.70,0.0586,86.10,1262.0,598.74,5847.00,1.4020,1.1130
110,5358241,CONFIRMED,9.751921010,4.79300,4.1800e+02,0.024042,2.76,0.0902,80.97,870.0,135.66,5775.00,1.0530,1.0260
111,5358241,CONFIRMED,38.557654600,5.79400,9.9300e+02,0.034980,4.02,0.2255,87.91,550.0,21.71,5775.00,1.0530,1.0260
112,5358624,CONFIRMED,3.525632539,2.59959,2.2335e+04,0.133720,11.58,0.0431,89.41,975.0,213.12,5150.00,0.7930,0.8550
113,4544670,CANDIDATE,34.843986440,2.93150,4.5236e+03,0.080046,7.61,0.1971,88.92,511.0,16.10,5509.00,0.8710,0.8400
114,4664847,CONFIRMED,7.748094239,3.59570,2.4721e+03,0.046615,5.52,0.0810,88.02,964.0,204.39,5973.00,1.0850,1.1810
115,4725681,CONFIRMED,23.967936690,3.82700,1.1823e+03,0.031410,1.80,0.1322,89.47,329.0,2.77,3747.00,0.5240,0.5360
116,4725681,CONFIRMED,8.295617380,1.34210,8.2430e+02,0.031780,1.82,0.0652,87.95,469.0,11.39,3747.00,0.5240,0.5360
117,4913852,CONFIRMED,8.114374820,2.27360,1.5580e+03,0.037204,2.10,0.0649,88.61,460.0,10.55,3692.00,0.5170,0.5530
118,4932348,FALSE POSITIVE,38.036729482,4.34617,8.2872e+04,0.270180,27.50,0.2252,89.63,500.0,14.81,5575.00,0.9320,1.0510
119,4936180,CANDIDATE,4.640900310,35.51200,2.4506e+03,0.333559,30.09,0.0503,19.01,1155.0,421.08,6463.00,0.8260,0.7860
120,11913073,FALSE POSITIVE,3.747838198,5.06420,6.1600e+02,0.151387,13.65,0.0460,53.12,1031.0,266.76,5514.00,0.8260,0.9260
121,10875245,CONFIRMED,14.749148250,6.09950,4.3020e+02,0.018864,2.89,0.1221,89.47,874.0,137.91,5847.00,1.4020,1.1130
122,5021899,CONFIRMED,21.812959960,4.37910,1.1754e+03,0.030952,3.38,0.1495,89.92,639.0,39.33,5601.00,0.9990,0.9340
123,5077629,FALSE POSITIVE,7.919369370,3.31480,1.5148e+04,0.121984,10.34,0.0737,87.30,814.0,104.00,5690.00,0.7760,0.8520
124,5115978,CANDIDATE,1.028436523,1.86060,8.0980e+03,0.673134,72.77,0.0197,57.30,1947.0,3400.48,6228.00,0.9900,0.9590
125,5164255,CONFIRMED,15.375623690,3.31690,1.5337e+04,0.121030,11.01,0.1121,88.73,600.0,30.54,4986.00,0.8330,0.7930
126,5252423,CONFIRMED,8.103632710,3.16100,8.8790e+02,0.026361,2.11,0.0712,89.87,687.0,52.82,4861.00,0.7320,0.7330
127,5252423,CONFIRMED,4.715108430,2.50600,4.1750e+02,0.018268,1.46,0.0496,88.96,823.0,108.84,4861.00,0.7320,0.7330
128,5272878,CONFIRMED,6.365839713,2.97210,7.8070e+02,0.026275,2.44,0.0659,87.92,914.0,165.33,5776.00,0.8490,0.9390
129,5283542,FALSE POSITIVE,5.975817540,3.06500,9.6240e+02,0.035468,3.86,0.0660,81.71,1047.0,284.25,6108.00,0.9970,1.0720
130,5649215,FALSE POSITIVE,2.446737317,4.72110,1.1779e+03,0.278526,26.25,0.0351,44.81,1261.0,597.19,5764.00,0.8630,0.9590
131,5651104,CONFIRMED,3.040330460,1.84110,1.0859e+04,0.104023,8.99,0.0374,85.95,1021.0,257.29,5035.00,0.7910,0.7540
132,5792202,CONFIRMED,15.335286750,3.89700,3.0814e+03,0.056000,5.00,0.1179,87.95,610.0,32.67,5251.00,0.8170,0.9260
133,10875245,CONFIRMED,7.958253280,4.37700,5.0000e+01,0.006915,1.06,0.0809,85.95,1074.0,314.15,5847.00,1.4020,1.1130
134,5792202,CONFIRMED,31.330461350,5.17600,5.0738e+03,0.072904,6.50,0.1898,88.62,481.0,12.61,5251.00,0.8170,0.9260
135,5370302,FALSE POSITIVE,3.904342500,3.83100,1.6228e+04,0.125229,12.28,0.0484,84.06,1104.0,351.05,5810.00,0.8980,0.9890
136,5372966,FALSE POSITIVE,9.286358079,3.49949,4.4791e+04,0.196390,17.61,0.0810,89.06,796.0,95.03,5670.00,0.8210,0.8200
137,5376067,FALSE POSITIVE,3.951405455,2.18620,2.4539e+03,0.331342,31.44,0.0482,76.40,1133.0,388.71,6046.00,0.8690,0.9530
138,5436502,CONFIRMED,23.653694150,8.21830,3.3418e+03,0.052190,7.89,0.1658,89.98,731.0,67.65,5739.00,1.3840,1.0830
139,5436502,CONFIRMED,13.233522140,6.73720,5.0460e+02,0.020278,3.06,0.1126,89.95,888.0,146.67,5739.00,1.3840,1.0830
140,5436502,CONFIRMED,6.155602850,4.98430,2.8500e+02,0.015336,2.32,0.0676,88.56,1146.0,406.94,5739.00,1.3840,1.0830
141,5436502,CONFIRMED,2.090811305,3.38800,1.1590e+02,0.010686,1.62,0.0329,77.03,1642.0,1718.04,5739.00,1.3840,1.0830
142,10875245,CONFIRMED,3.180027898,3.57970,1.2030e+02,0.009989,1.53,0.0439,88.34,1458.0,1066.86,5847.00,1.4020,1.1130
143,5436502,CONFIRMED,50.446741700,7.15900,3.7030e+02,0.017670,2.67,0.2747,89.57,568.0,24.64,5739.00,1.3840,1.0830
144,5456651,CONFIRMED,11.763071640,2.90760,1.0373e+03,0.028519,2.35,0.0954,89.91,616.0,33.99,4959.00,0.7560,0.8490
145,5456651,CONFIRMED,56.227927100,3.57000,8.6270e+02,0.028683,2.37,0.2707,89.56,366.0,4.22,4959.00,0.7560,0.8490
146,5481416,FALSE POSITIVE,2.384052875,3.09180,1.2681e+03,0.222925,17.06,0.0308,58.76,1010.0,244.87,4794.00,0.7010,0.6830
147,5531576,CONFIRMED,7.953547000,2.63120,8.7540e+02,0.026448,2.25,0.0712,89.24,696.0,55.37,4768.00,0.7790,0.7590
148,5531576,CONFIRMED,4.144516560,2.34210,3.9180e+02,0.017441,1.48,0.0461,89.99,864.0,132.08,4768.00,0.7790,0.7590
149,5534814,FALSE POSITIVE,4.859386384,2.27570,6.0443e+03,0.355227,38.33,0.0571,81.27,1114.0,364.23,6072.00,0.9880,1.0500
150,6291653,CONFIRMED,10.526294577,2.52110,9.7680e+03,0.095143,8.24,0.0880,88.69,713.0,61.16,5386.00,0.7930,0.8200
151,6392727,CONFIRMED,4.583520948,2.70550,3.8121e+03,0.056287,5.39,0.0535,89.81,1038.0,274.98,5815.00,0.8770,0.9730
152,6422070,CONFIRMED,3.761818430,3.51760,5.1060e+02,0.025656,2.66,0.0470,75.62,1121.0,372.62,5653.00,0.9490,0.9740
153,6428700,CONFIRMED,8.203969580,2.96670,1.0244e+03,0.033372,3.01,0.0735,86.43,742.0,71.50,5015.00,0.8260,0.7850
154,6428700,CONFIRMED,14.496451860,4.01600,6.4750e+02,0.033377,3.01,0.1074,84.34,613.0,33.48,5015.00,0.8260,0.7850
155,5792202,CONFIRMED,6.546261490,2.75000,6.5590e+02,0.024555,2.19,0.0668,87.46,810.0,101.78,5251.00,0.8170,0.9260
156,5794379,CONFIRMED,12.718098660,3.09570,1.1494e+03,0.030871,2.31,0.0934,89.17,562.0,23.60,4702.00,0.6860,0.6700
157,5794379,CONFIRMED,36.065881630,4.32460,1.5638e+03,0.035281,2.64,0.1871,89.77,397.0,5.88,4702.00,0.6860,0.6700
158,5881688,CONFIRMED,4.190425659,2.85890,2.8774e+03,0.050076,6.21,0.0535,87.52,1234.0,547.90,6073.00,1.1350,1.1630
159,6022556,CONFIRMED,3.709870784,3.06940,2.0203e+03,0.040686,4.35,0.0471,89.86,1151.0,415.10,5727.00,0.9780,1.0130
160,6032497,CONFIRMED,16.329752700,6.27100,1.1875e+03,0.034822,3.75,0.1255,86.59,727.0,66.08,5878.00,0.9870,0.9890
161,6061119,CONFIRMED,27.807566216,4.21587,2.5391e+04,0.161479,13.84,0.1711,88.96,554.0,22.24,5862.00,0.7850,0.8650
162,6191521,CONFIRMED,80.872346900,11.19500,3.6046e+03,0.056129,7.59,0.3577,89.40,452.0,9.88,5510.00,1.2380,0.9320
163,6267425,FALSE POSITIVE,3.166465862,2.93810,4.3572e+03,0.348902,26.82,0.0371,71.80,954.0,196.31,4968.00,0.7040,0.6800
164,3531558,CONFIRMED,24.993243190,5.94090,2.6960e+02,0.015956,2.29,0.1651,88.37,712.0,60.88,5718.00,1.3170,0.9610
165,6276477,CONFIRMED,10.355331160,3.17750,7.5060e+02,0.024674,2.47,0.0895,89.93,777.0,86.22,5501.00,0.9180,0.8910
166,6863998,CONFIRMED,16.085189370,3.98400,1.4424e+03,0.040767,3.68,0.1173,87.21,613.0,33.43,5239.00,0.8260,0.8300
167,6867155,CANDIDATE,235.998639900,8.22840,2.0715e+04,0.147560,10.59,0.6534,89.76,188.0,0.29,4245.00,0.6570,0.6660
168,6948054,CONFIRMED,7.490183050,2.72970,1.1236e+03,0.029843,2.56,0.0703,89.95,753.0,76.06,5103.00,0.7870,0.8230
169,6948054,CONFIRMED,36.276123800,4.78650,1.5726e+03,0.035273,3.03,0.2012,89.97,445.0,9.29,5103.00,0.7870,0.8230
170,6948054,CONFIRMED,17.460879310,2.26410,8.1240e+02,0.026969,2.32,0.1236,89.31,568.0,24.60,5103.00,0.7870,0.8230
171,6435936,CONFIRMED,56.056075400,4.68500,1.6260e+03,0.036134,1.94,0.2280,89.99,233.0,0.69,3593.00,0.4910,0.5030
172,6522242,CONFIRMED,41.408316686,5.02640,2.2839e+04,0.139516,11.38,0.2162,89.68,453.0,9.93,5522.00,0.7470,0.7860
